year	concentration	spring	summer	autumn	winter	nthyear	nthqrt
2013	391.418	1	0	0	0	36	36
2013	393.9006667	0	1	0	0	36	36.25
2013	392.0106667	0	0	1	0	36	36.5
2013	393.2553334	0	0	0	1	36	36.75
2014	393.9666667	1	0	0	0	37	37
2014	396.1795	0	1	0	0	37	37.25
2014	394.0226667	0	0	1	0	37	37.5
2014	395.7875	0	0	0	1	37	37.75
2015	395.8396667	1	0	0	0	38	38
2015	398.2396667	0	1	0	0	38	38.25
2015	396.3886667	0	0	1	0	38	38.5
2015	397.7716667	0	0	0	1	38	38.75
2016	398.446	1	0	0	0	39	39
2016	401.4558333	0	1	0	0	39	39.25
2016	399.6336667	0	0	1	0	39	39.5
2016	400.6421667	0	0	0	1	39	39.75
2017	401.5433333	1	0	0	0	40	40
2017	403.833	0	1	0	0	40	40.25
2017	401.5056667	0	0	1	0	40	40.5
2017	403.7181667	0	0	0	1	40	40.75
2018	403.5776667	1	0	0	0	41	41
2018	406.0765	0	1	0	0	41	41.25
2018	404.1553333	0	0	1	0	41	41.5
2018	405.4151667	0	0	0	1	41	41.75
2019	405.8693333	1	0	0	0	42	42
2019	408.5855	0	1	0	0	42	42.25
2019	406.2416667	0	0	1	0	42	42.5
2019	408.1003334	0	0	0	1	42	42.75
2020	408.6966667	1	0	0	0	43	43
2020	411.2185	0	1	0	0	43	43.25
2020	408.8243333	0	0	1	0	43	43.5
2020	410.7043334	0	0	0	1	43	43.75
